00001 John Bank            A 00500.00 0030
00002 Free Mann            A 00420.00 0237
00003 Cayde Six            D 00010.00 0420
00004 Adrian Shephard      A 01000.00 0230
00001 John Doe             A 00350.00 0011
00002 James Doe            A 00999.00 0012
00003 Jane Doe             A 01000.00 0033
00004 John Smith           A 00000.00 1245
00005 Richard Smith        A 10000.00 2356
00006 Emily Clarkson       A 05410.00 8130
00007 Joe Wagger           A 00943.00 0012
00008 Rudy Patootie        A 13614.00 0001
